消息发生时间,[消息发布时间][时间_系统RTC],[消息发布者ID][功能单元ID],[主备状态],[数据生成时间][时间_任务时间],[数据生成时间1][时间_任务时间],[有效性_俯仰角],[有效性_横滚角],[有效性_真航角],[有效性_俯仰角速率],[有效性_横滚角速率],[有效性_航向角速率],[有效性_俯仰角加速度],[有效性_横滚角加速度],[有效性_航向角加速度],[有效性_速度北向],[有效性_速度西向],[有效性_速度天向],[有效性_加速度北向],[有效性_加速度西向],[有效性_加速度天向],[有效性_惯性攻角],[有效性_惯性侧滑角],[有效性_偏流角],[有效性_航迹角],[有效性_位置],[有效性_惯性气压高度],[有效性_地速],[载机俯仰角][_角度_毫弧度],[载机横滚角][_角度_毫弧度],[载机真航角][_角度_毫弧度],[载机俯仰角速率][_角速率],[载机横滚角速率][_角速率],[载机航向角速率][_角速率],[载机俯仰角加速度][_角加速度],[载机横滚角加速度][_角加速度],[载机航向角加速度][_角加速度],[载机平台系速度][速度_北向][_速度],[载机平台系速度][速度_西向][_速度],[载机平台系速度][速度_天向][_速度],[载机平台系加速度][加速度_北向][_加速度],[载机平台系加速度][加速度_西向][_加速度],[载机平台系加速度][加速度_天向][_加速度],[载机惯性攻角][_角度_毫弧度],[载机侧滑角][_角度_毫弧度],[载机偏流角][_角度_毫弧度],[载机航迹角][_角度_毫弧度],[载机爬升角][_角度_毫弧度],[载机位置数据][_纬度],[载机位置数据][_经度],[载机惯性气压高度][_高度],[载机惯性气压参考高度][_高度],[载机地速][_速度]
30:41.8,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,-1676.95,1540.59,2747.7,76.238,-67.438,-17.453,43.275,-14.202,17.668,-219.63,218.66,24.72,-30.634,25.706,25.34,-2010.41,-808.63,887.98,-1831.67,2515.22,-35.640401,-22.879923,4400,6529.8,921.71
24:15.7,1.74954E+12,FU_030,1,1.74955E+12,1.74959E+12,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,-3023.99,451.02,-1175.26,-68.57,6.146,-51.744,-45.392,33.446,0.173,-717.5,-547.79,-958.53,37.894,1.853,-22.77,-1482.02,-153.91,-1040.95,-2412.41,2128.01,-14.839022,16.576605,8603.7,5099.2,593.57
22:30.4,1.7495E+12,FU_092,0,1.7496E+12,1.74955E+12,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,-603.65,-1044.3,-1894,81.05,66.464,-23.985,29.646,22.98,-1.245,-551,43.49,174.44,19.198,-26.416,21.952,-1521.46,-713.04,-1870.49,1734.5,1617.5,-77.345972,105.490776,8307.2,5126.8,855.47
15:30.5,1.74951E+12,FU_033,0,1.74955E+12,1.74958E+12,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,-747.48,-2877.79,-2949.25,89.097,-34.858,33.19,24.5,-30.464,-46.231,159.07,955.85,-657.63,-30.407,43.687,8.663,-471.56,2623.06,348.58,-735.77,-60.92,25.014534,-159.611707,6809.2,7315,322.5
42:35.4,1.74953E+12,FU_096,0,1.74951E+12,1.74959E+12,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,2101.47,-235.77,1579.46,45.617,-29.173,-6.902,-10.328,-10.859,48.09,778.28,-910.13,39,39.349,-22.056,-39.67,343.81,2848.42,-3050.39,2059.62,691.8,-57.268606,-176.263465,1851.8,6146.5,279.59
49:52.6,1.74953E+12,FU_042,0,1.74958E+12,1.74955E+12,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,2506.17,-1352.21,378.67,-66.625,26.67,95.921,36.236,-10.176,26.928,-970.32,-490.41,745.56,-8.982,-32.975,-4.727,967.06,2779.46,273.86,2132.36,3114.77,-7.300593,34.974213,5002.4,9496.8,9.85
37:48.9,1.74953E+12,FU_005,0,1.74959E+12,1.74954E+12,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,2626.79,2621.48,-1182.91,-78.876,32.956,-9.447,-25.165,4.331,27.373,970.48,207.34,-299.97,-22.942,38.636,-22.852,-29.95,2023.25,842.97,-2548.36,-1214.58,26.972845,54.131875,3544.2,7475.8,300.86
38:13.1,1.74952E+12,FU_042,0,1.74955E+12,1.74953E+12,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,-507.08,1052.24,-2684.91,45.137,-89.475,96.027,-10.221,12.842,-1.638,199.66,-984.27,89.4,23.701,34.588,-16.478,471.42,1744.9,-204.72,1209.73,-384.92,48.73649,-175.143958,7589.1,9925.2,246.59
58:12.8,1.74956E+12,FU_054,0,1.74956E+12,1.74954E+12,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,-2878.48,1534.19,-1175.41,-15.053,-82.933,-94.718,-48.216,33.894,39.73,145.97,85.19,307.09,-11.575,25.304,34.434,-2962.4,-617.45,-2909.34,-2274.09,1438.91,33.206017,3.114034,6743.5,3642.8,93.68
09:50.6,1.74952E+12,FU_063,1,1.74952E+12,1.74956E+12,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1568.91,1425.97,-1909.42,83.456,-26.884,38.069,20.348,26.885,5.95,776.17,-930.17,-712.01,31.746,-35.19,34.593,-176.61,385.97,1673.91,1929.36,2576.79,-67.828117,12.245363,2696.9,4116.5,423.37
