消息发生时间,[消息发布时间][时间_系统RTC],[消息发布者ID][功能单元ID],[主备状态],[数据生成时间][时间_任务时间],[数据生成时间1][时间_任务时间],[有效性_俯仰角],[有效性_横滚角],[有效性_真航角],[有效性_俯仰角速率],[有效性_横滚角速率],[有效性_航向角速率],[有效性_俯仰角加速度],[有效性_横滚角加速度],[有效性_航向角加速度],[有效性_速度北向],[有效性_速度西向],[有效性_速度天向],[有效性_加速度北向],[有效性_加速度西向],[有效性_加速度天向],[有效性_惯性攻角],[有效性_惯性侧滑角],[有效性_偏流角],[有效性_航迹角],[有效性_位置],[有效性_惯性气压高度],[有效性_地速],[载机俯仰角][_角度_毫弧度],[载机横滚角][_角度_毫弧度],[载机真航角][_角度_毫弧度],[载机俯仰角速率][_角速率],[载机横滚角速率][_角速率],[载机航向角速率][_角速率],[载机俯仰角加速度][_角加速度],[载机横滚角加速度][_角加速度],[载机航向角加速度][_角加速度],[载机平台系速度][速度_北向][_速度],[载机平台系速度][速度_西向][_速度],[载机平台系速度][速度_天向][_速度],[载机平台系加速度][加速度_北向][_加速度],[载机平台系加速度][加速度_西向][_加速度],[载机平台系加速度][加速度_天向][_加速度],[载机惯性攻角][_角度_毫弧度],[载机侧滑角][_角度_毫弧度],[载机偏流角][_角度_毫弧度],[载机航迹角][_角度_毫弧度],[载机爬升角][_角度_毫弧度],[载机位置数据][_纬度],[载机位置数据][_经度],[载机惯性气压高度][_高度],[载机惯性气压参考高度][_高度],[载机地速][_速度]
00:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,5,1000,1,0,50,0.1,0.1,0.1,250,-10,5,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9,116.4,4000,4000,250.1999201
00:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.19998667,4.999750002,1010,0.999800007,-0.004999917,50,0.1,0.1,0.1,250.4,-10.1,5.02,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90002,116.40002,4002,4000,250.6036113
00:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.39989334,4.999000033,1020,0.999200107,-0.009999333,50,0.1,0.1,0.1,250.8,-10.2,5.04,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90004,116.40004,4004,4000,251.0073306
00:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.59964006,4.997750169,1030,0.99820054,-0.01499775,50,0.1,0.1,0.1,251.2,-10.3,5.06,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90006,116.40006,4006,4000,251.4110777
00:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.79914694,4.996000533,1040,0.996801706,-0.019994667,50,0.1,0.1,0.1,251.6,-10.4,5.08,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90008,116.40008,4008,4000,251.8148526
01:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,50.99833417,4.993751302,1050,0.995004165,-0.024989585,50,0.1,0.1,0.1,252,-10.5,5.1,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9001,116.4001,4010,4000,252.2186551
01:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,51.19712207,4.9910027,1060,0.992808636,-0.029982003,50,0.1,0.1,0.1,252.4,-10.6,5.12,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90012,116.40012,4012,4000,252.6224851
01:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,51.39543115,4.987755001,1070,0.990215996,-0.034971424,50,0.1,0.1,0.1,252.8,-10.7,5.14,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90014,116.40014,4014,4000,253.0263425
01:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,51.59318207,4.984008532,1080,0.987227283,-0.039957347,50,0.1,0.1,0.1,253.2,-10.8,5.16,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90016,116.40016,4016,4000,253.4302271
01:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,51.79029573,4.979763665,1090,0.983843693,-0.044939275,50,0.1,0.1,0.1,253.6,-10.9,5.18,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90018,116.40018,4018,4000,253.8341388
