flightTime,cycleId,lng,lat,alt,heading,pitch,roll,radar_status
2026-06-04 10:00:00.000,1,104.069993,30.569993,501.6,90.16,4.36,-0.23,有效
2026-06-04 10:00:00.000,1,103.900027,30.700057,500.3,45.35,3.37,0.22,有效
2026-06-04 10:00:05.000,2,104.072205,30.571137,505.5,90.63,3.76,0.25,有效
2026-06-04 10:00:05.000,2,103.901688,30.701394,504.9,44.58,3.25,-0.15,有效
2026-06-04 10:00:10.000,3,104.074421,30.572248,521.4,90.31,4.37,0.58,有效
2026-06-04 10:00:10.000,3,103.90336,30.702803,517.3,44.8,2.98,0.78,有效
2026-06-04 10:00:15.000,4,104.076717,30.573324,549.0,91.33,3.14,-0.39,有效
2026-06-04 10:00:15.000,4,103.905016,30.704182,539.9,44.01,3.96,-0.63,有效
2026-06-04 10:00:20.000,5,104.078883,30.57442,587.4,91.3,4.37,0.31,有效
2026-06-04 10:00:20.000,5,103.906667,30.705615,569.1,44.64,2.8,0.11,有效
2026-06-04 10:00:25.000,6,104.08115,30.57558,633.5,90.91,4.13,-0.16,有效
2026-06-04 10:00:25.000,6,103.908353,30.707012,606.3,44.13,3.68,-0.2,有效
2026-06-04 10:00:30.000,7,104.083367,30.576657,684.5,91.24,4.07,-0.38,无效
2026-06-04 10:00:30.000,7,103.910019,30.708383,650.9,44.76,3.01,0.28,有效
2026-06-04 10:00:35.000,8,104.085609,30.577787,747.6,91.82,3.76,0.2,有效
2026-06-04 10:00:35.000,8,103.911686,30.709748,698.5,43.98,3.98,0.3,有效
2026-06-04 10:00:40.000,9,104.087797,30.578864,817.9,91.84,4.01,-0.64,有效
2026-06-04 10:00:40.000,9,103.913328,30.711136,752.7,44.17,3.21,0.37,有效
2026-06-04 10:00:45.000,10,104.090085,30.580027,892.2,92.71,4.65,1.08,有效
2026-06-04 10:00:45.000,10,103.915012,30.712492,815.3,43.58,3.34,-0.12,有效
2026-06-04 10:00:50.000,11,104.092285,30.581143,974.8,92.65,3.71,0.05,有效
2026-06-04 10:00:50.000,11,103.916732,30.713954,879.1,44.09,3.34,-0.18,有效
2026-06-04 10:00:55.000,12,104.094546,30.58226,1060.5,93.23,4.84,-0.19,有效
2026-06-04 10:00:55.000,12,103.918387,30.715329,948.0,43.25,3.6,0.25,有效
2026-06-04 10:01:00.000,13,104.096756,30.583363,1152.9,92.87,4.72,0.18,有效
2026-06-04 10:01:00.000,13,103.920059,30.716708,1021.0,43.56,3.66,-0.55,有效
2026-06-04 10:01:05.000,14,104.099063,30.584495,1248.6,93.51,4.18,-0.04,有效
2026-06-04 10:01:05.000,14,103.921706,30.718137,1097.3,43.32,3.52,-0.45,有效
2026-06-04 10:01:10.000,15,104.101195,30.585598,1344.7,94.05,3.71,0.19,有效
2026-06-04 10:01:10.000,15,103.923341,30.719484,1175.3,43.2,4.14,-0.28,有效
2026-06-04 10:01:15.000,16,104.103409,30.586729,1444.5,93.5,4.37,0.24,有效
2026-06-04 10:01:15.000,16,103.925076,30.720881,1254.6,42.5,3.95,0.35,有效
2026-06-04 10:01:20.000,17,104.105608,30.587773,1544.8,94.69,3.72,-0.38,有效
2026-06-04 10:01:20.000,17,103.926759,30.722298,1338.1,42.92,3.44,0.92,有效
2026-06-04 10:01:25.000,18,104.107861,30.588919,1650.3,94.86,3.72,0.48,有效
2026-06-04 10:01:25.000,18,103.928336,30.723675,1420.5,42.43,3.58,0.13,有效
2026-06-04 10:01:30.000,19,104.110081,30.590054,1756.1,95.14,3.96,1.18,有效
2026-06-04 10:01:30.000,19,103.93006,30.725058,1507.0,42.08,2.64,-1.0,无效
2026-06-04 10:01:35.000,20,104.112341,30.591202,1859.0,94.99,4.12,0.37,有效
2026-06-04 10:01:35.000,20,103.931762,30.726416,1587.1,42.37,3.33,0.18,有效
2026-06-04 10:01:40.000,21,104.114565,30.592355,1962.4,95.25,4.28,-0.63,有效
2026-06-04 10:01:40.000,21,103.933436,30.727877,1670.8,42.27,4.18,0.89,有效
2026-06-04 10:01:45.000,22,104.116796,30.593407,2065.9,95.62,3.66,0.19,有效
2026-06-04 10:01:45.000,22,103.935144,30.729229,1752.7,42.05,3.09,-0.34,有效
2026-06-04 10:01:50.000,23,104.118989,30.594474,2167.1,95.62,4.03,-0.28,有效
2026-06-04 10:01:50.000,23,103.936764,30.730623,1832.3,42.27,3.78,-0.46,有效
2026-06-04 10:01:55.000,24,104.121259,30.595602,2264.5,96.14,4.03,-0.84,有效
2026-06-04 10:01:55.000,24,103.938421,30.731998,1911.7,41.92,2.68,-0.42,有效
2026-06-04 10:02:00.000,25,104.123514,30.596727,2357.2,96.71,4.25,1.02,有效
2026-06-04 10:02:00.000,25,103.94011,30.733434,1986.0,41.18,4.19,0.68,有效
2026-06-04 10:02:05.000,26,104.125682,30.597884,2449.0,97.53,3.04,0.55,有效
2026-06-04 10:02:05.000,26,103.941772,30.734793,2058.2,41.68,3.68,-0.14,有效
2026-06-04 10:02:10.000,27,104.127951,30.598974,2534.3,96.95,3.1,-0.0,有效
2026-06-04 10:02:10.000,27,103.943402,30.736222,2126.6,41.46,3.6,-0.06,有效
2026-06-04 10:02:15.000,28,104.130231,30.600097,2616.1,97.71,4.96,-0.34,有效
2026-06-04 10:02:15.000,28,103.945174,30.737593,2190.5,41.27,3.69,0.14,有效
2026-06-04 10:02:20.000,29,104.132419,30.601155,2688.3,98.02,4.78,-0.4,有效
2026-06-04 10:02:20.000,29,103.946741,30.739057,2252.1,41.03,3.15,-0.85,有效
2026-06-04 10:02:25.000,30,104.134645,30.602341,2757.2,98.14,3.88,-0.14,有效
2026-06-04 10:02:25.000,30,103.948494,30.740371,2306.1,40.72,3.06,-0.31,有效
2026-06-04 10:02:30.000,31,104.136863,30.603388,2819.7,98.15,3.25,0.09,有效
2026-06-04 10:02:30.000,31,103.950127,30.741706,2354.6,40.75,4.26,0.16,有效
2026-06-04 10:02:35.000,32,104.139111,30.604533,2874.0,98.62,4.19,1.63,有效
2026-06-04 10:02:35.000,32,103.951802,30.743185,2396.2,40.7,3.77,-0.19,有效
2026-06-04 10:02:40.000,33,104.141286,30.605674,2918.4,98.93,2.99,-0.18,有效
2026-06-04 10:02:40.000,33,103.953502,30.74461,2432.9,40.09,3.44,0.46,有效
