flightTime,trackId,planId,lng,lat,alt,heading,pitch,roll
2026-06-04 10:00:00.000,drone_001,PLAN1,104.070015,30.569996,500.6,89.93,4.73,-0.12
2026-06-04 10:00:00.000,drone_002,PLAN1,103.900009,30.700005,500.0,44.93,2.49,-0.18
2026-06-04 10:00:00.500,drone_001,PLAN1,104.070231,30.570142,499.5,89.75,3.71,-0.29
2026-06-04 10:00:00.500,drone_002,PLAN1,103.900146,30.700153,501.4,45.37,4.12,-0.63
2026-06-04 10:00:01.000,drone_001,PLAN1,104.070367,30.570251,501.0,89.83,3.21,-0.21
2026-06-04 10:00:01.000,drone_002,PLAN1,103.900325,30.700297,499.3,44.53,3.6,0.16
2026-06-04 10:00:01.500,drone_001,PLAN1,104.070712,30.570327,500.6,90.12,3.26,-0.27
2026-06-04 10:00:01.500,drone_002,PLAN1,103.900461,30.700436,501.3,44.21,3.49,0.35
2026-06-04 10:00:02.000,drone_001,PLAN1,104.070857,30.570457,500.3,90.67,3.83,-0.3
2026-06-04 10:00:02.000,drone_002,PLAN1,103.900588,30.700522,500.9,44.69,4.3,-0.56
2026-06-04 10:00:02.500,drone_001,PLAN1,104.071098,30.570557,501.2,90.47,4.17,-0.63
2026-06-04 10:00:02.500,drone_002,PLAN1,103.900792,30.70071,501.6,45.17,3.06,0.56
2026-06-04 10:00:03.000,drone_001,PLAN1,104.07142,30.570704,502.3,89.69,4.41,-0.5
2026-06-04 10:00:03.000,drone_002,PLAN1,103.901032,30.700836,500.2,44.5,4.02,-0.14
2026-06-04 10:00:03.500,drone_001,PLAN1,104.071546,30.570812,503.2,90.08,3.09,0.16
2026-06-04 10:00:03.500,drone_002,PLAN1,103.901172,30.700985,504.2,44.9,3.89,-0.26
2026-06-04 10:00:04.000,drone_001,PLAN1,104.071762,30.57091,504.7,90.13,4.44,-0.42
2026-06-04 10:00:04.000,drone_002,PLAN1,103.901382,30.701138,504.4,44.68,3.29,-0.36
2026-06-04 10:00:04.500,drone_001,PLAN1,104.07196,30.571036,504.5,89.98,3.77,0.59
2026-06-04 10:00:04.500,drone_002,PLAN1,103.901535,30.701242,503.3,45.07,4.1,0.8
2026-06-04 10:00:05.000,drone_001,PLAN1,104.072253,30.571123,504.7,90.52,3.93,0.49
2026-06-04 10:00:05.000,drone_002,PLAN1,103.901652,30.701377,504.6,45.08,3.69,-0.49
2026-06-04 10:00:05.500,drone_001,PLAN1,104.07245,30.571273,504.3,90.22,4.38,0.04
2026-06-04 10:00:05.500,drone_002,PLAN1,103.901778,30.701536,505.0,44.84,3.17,-0.46
2026-06-04 10:00:06.000,drone_001,PLAN1,104.072677,30.571277,508.0,90.18,4.15,0.74
2026-06-04 10:00:06.000,drone_002,PLAN1,103.901982,30.701678,507.0,44.89,3.39,-0.18
2026-06-04 10:00:06.500,drone_001,PLAN1,104.072891,30.571436,510.1,90.46,4.55,0.13
2026-06-04 10:00:06.500,drone_002,PLAN1,103.902209,30.70181,509.3,45.48,3.99,-0.35
2026-06-04 10:00:07.000,drone_001,PLAN1,104.073161,30.571565,510.8,90.28,4.31,-0.13
2026-06-04 10:00:07.000,drone_002,PLAN1,103.90235,30.701925,510.5,44.65,4.57,-0.02
2026-06-04 10:00:07.500,drone_001,PLAN1,104.073352,30.571679,512.7,90.29,3.86,-0.71
2026-06-04 10:00:07.500,drone_002,PLAN1,103.902556,30.702049,510.9,44.81,3.87,0.58
2026-06-04 10:00:08.000,drone_001,PLAN1,104.073555,30.571759,514.3,90.5,4.17,0.94
2026-06-04 10:00:08.000,drone_002,PLAN1,103.902701,30.702221,510.8,44.64,3.06,-0.72
2026-06-04 10:00:08.500,drone_001,PLAN1,104.073788,30.571844,515.2,90.34,3.48,0.05
2026-06-04 10:00:08.500,drone_002,PLAN1,103.902905,30.702397,510.6,44.48,3.25,-0.91
2026-06-04 10:00:09.000,drone_001,PLAN1,104.073991,30.572006,518.7,90.37,3.84,-0.29
2026-06-04 10:00:09.000,drone_002,PLAN1,103.902914,30.702503,513.4,44.77,3.56,-0.81
2026-06-04 10:00:09.500,drone_001,PLAN1,104.074268,30.57214,521.1,90.11,3.52,0.7
2026-06-04 10:00:09.500,drone_002,PLAN1,103.903233,30.702613,517.1,44.55,4.11,-1.17
2026-06-04 10:00:10.000,drone_001,PLAN1,104.074474,30.572294,521.4,90.41,3.69,0.05
2026-06-04 10:00:10.000,drone_002,PLAN1,103.903387,30.702746,519.1,44.74,3.52,-0.03
2026-06-04 10:00:10.500,drone_001,PLAN1,104.07468,30.572329,525.3,90.31,3.36,0.27
2026-06-04 10:00:10.500,drone_002,PLAN1,103.903466,30.702953,520.7,44.5,3.93,-0.31
2026-06-04 10:00:11.000,drone_001,PLAN1,104.074921,30.572446,526.6,90.78,3.53,-0.18
2026-06-04 10:00:11.000,drone_002,PLAN1,103.903638,30.703067,520.5,44.55,2.94,-0.21
2026-06-04 10:00:11.500,drone_001,PLAN1,104.075132,30.572602,527.9,90.88,4.06,0.13
2026-06-04 10:00:11.500,drone_002,PLAN1,103.903851,30.703205,522.8,44.72,3.36,0.43
2026-06-04 10:00:12.000,drone_001,PLAN1,104.075311,30.572634,532.5,90.77,4.12,0.13
2026-06-04 10:00:12.000,drone_002,PLAN1,103.904028,30.703381,526.1,44.48,2.57,0.14
2026-06-04 10:00:12.500,drone_001,PLAN1,104.075578,30.572811,534.9,91.09,3.36,0.52
2026-06-04 10:00:12.500,drone_002,PLAN1,103.904179,30.703471,528.7,44.41,3.87,-0.31
2026-06-04 10:00:13.000,drone_001,PLAN1,104.075816,30.572868,536.7,91.1,3.41,0.38
2026-06-04 10:00:13.000,drone_002,PLAN1,103.904283,30.703626,529.9,45.04,4.1,0.18
2026-06-04 10:00:13.500,drone_001,PLAN1,104.076041,30.573065,540.1,90.51,3.6,-0.44
2026-06-04 10:00:13.500,drone_002,PLAN1,103.904542,30.703746,532.6,44.18,2.67,-0.06
2026-06-04 10:00:14.000,drone_001,PLAN1,104.076237,30.57313,543.5,91.22,4.39,0.01
2026-06-04 10:00:14.000,drone_002,PLAN1,103.904645,30.703873,535.3,44.56,3.46,0.02
2026-06-04 10:00:14.500,drone_001,PLAN1,104.07642,30.57323,545.3,90.77,4.46,0.02
2026-06-04 10:00:14.500,drone_002,PLAN1,103.904881,30.704074,537.5,44.39,3.62,-1.2
2026-06-04 10:00:15.000,drone_001,PLAN1,104.076682,30.573365,549.0,90.73,4.36,0.52
2026-06-04 10:00:15.000,drone_002,PLAN1,103.905,30.704122,538.4,44.83,2.54,-0.02
2026-06-04 10:00:15.500,drone_001,PLAN1,104.076915,30.573417,552.9,90.91,4.17,-0.44
2026-06-04 10:00:15.500,drone_002,PLAN1,103.905168,30.704349,540.2,44.51,2.79,0.33
2026-06-04 10:00:16.000,drone_001,PLAN1,104.077133,30.573531,556.4,91.21,4.25,0.54
2026-06-04 10:00:16.000,drone_002,PLAN1,103.905343,30.704429,545.1,44.21,3.13,0.04
2026-06-04 10:00:16.500,drone_001,PLAN1,104.077381,30.573659,559.8,91.18,4.1,0.01
2026-06-04 10:00:16.500,drone_002,PLAN1,103.90555,30.704561,548.0,44.81,3.53,-0.17
2026-06-04 10:00:17.000,drone_001,PLAN1,104.07762,30.573789,564.4,91.0,4.47,0.12
2026-06-04 10:00:17.000,drone_002,PLAN1,103.905709,30.704707,550.2,44.7,3.67,-0.14
2026-06-04 10:00:17.500,drone_001,PLAN1,104.077776,30.573893,566.2,90.41,4.01,1.16
2026-06-04 10:00:17.500,drone_002,PLAN1,103.905853,30.704868,551.5,44.22,4.85,0.36
2026-06-04 10:00:18.000,drone_001,PLAN1,104.078043,30.573963,569.9,90.68,4.52,0.03
2026-06-04 10:00:18.000,drone_002,PLAN1,103.906024,30.704974,555.8,44.02,2.79,-0.03
2026-06-04 10:00:18.500,drone_001,PLAN1,104.078262,30.574084,576.6,91.28,4.89,0.68
2026-06-04 10:00:18.500,drone_002,PLAN1,103.906203,30.705203,559.6,44.32,3.25,0.23
2026-06-04 10:00:19.000,drone_001,PLAN1,104.078468,30.574247,579.1,90.56,3.66,-0.22
