flightTime,trackId,state,battery,speed,alarm,detector_type,range_type,detect_range,yaw_angle,pitch_angle,center_point
2026-06-04 10:00:00.000,drone_001,TAKEOFF,100.0,193.64,正常,光测,扇形,25024.3,24.7,22.5,机头
2026-06-04 10:00:00.000,drone_002,TAKEOFF,95.0,188.01,正常,雷达,扇形,30258.0,32.1,21.0,机中
2026-06-04 10:00:01.000,drone_001,TAKEOFF,99.9,193.41,正常,光测,扇形,26669.7,26.4,24.0,机头
2026-06-04 10:00:01.000,drone_002,TAKEOFF,94.9,174.7,正常,雷达,扇形,30543.9,30.3,20.3,机中
2026-06-04 10:00:02.000,drone_001,TAKEOFF,99.9,209.39,正常,光测,扇形,26645.7,26.2,23.2,机头
2026-06-04 10:00:02.000,drone_002,TAKEOFF,94.9,181.41,正常,雷达,扇形,31624.1,29.4,18.9,机中
2026-06-04 10:00:03.000,drone_001,TAKEOFF,99.8,191.48,正常,光测,扇形,24543.5,26.0,23.3,机头
2026-06-04 10:00:03.000,drone_002,TAKEOFF,94.8,188.19,正常,雷达,扇形,30811.1,31.1,21.6,机中
2026-06-04 10:00:04.000,drone_001,TAKEOFF,99.7,205.42,正常,光测,扇形,25582.0,24.3,20.9,机头
2026-06-04 10:00:04.000,drone_002,TAKEOFF,94.7,187.84,正常,雷达,扇形,32277.4,32.0,20.9,机中
2026-06-04 10:00:05.000,drone_001,TAKEOFF,99.7,207.43,正常,光测,扇形,24723.9,26.2,23.0,机头
2026-06-04 10:00:05.000,drone_002,TAKEOFF,94.7,181.54,正常,雷达,扇形,29597.0,30.2,20.6,机中
2026-06-04 10:00:06.000,drone_001,TAKEOFF,99.6,208.86,正常,光测,扇形,25571.9,25.4,22.3,机头
2026-06-04 10:00:06.000,drone_002,TAKEOFF,94.6,174.21,右侧引擎故障,雷达,扇形,32017.5,30.6,22.4,机中
2026-06-04 10:00:07.000,drone_001,TAKEOFF,99.5,199.79,正常,光测,扇形,24865.6,25.3,23.8,机头
2026-06-04 10:00:07.000,drone_002,TAKEOFF,94.5,176.97,右侧引擎故障,雷达,扇形,30150.6,30.2,21.8,机中
2026-06-04 10:00:08.000,drone_001,TAKEOFF,99.5,202.9,正常,光测,扇形,26011.3,24.1,24.5,机头
2026-06-04 10:00:08.000,drone_002,TAKEOFF,94.5,179.43,右侧引擎故障,雷达,扇形,30908.5,30.3,19.1,机中
2026-06-04 10:00:09.000,drone_001,TAKEOFF,99.4,196.98,正常,光测,扇形,26537.5,26.1,23.9,机头
2026-06-04 10:00:09.000,drone_002,TAKEOFF,94.4,177.29,右侧引擎故障,雷达,扇形,30247.5,30.7,19.5,机中
2026-06-04 10:00:10.000,drone_001,TAKEOFF,99.3,202.99,正常,光测,扇形,25926.2,24.9,21.2,机头
2026-06-04 10:00:10.000,drone_002,TAKEOFF,94.3,186.12,右侧引擎故障,雷达,扇形,32097.7,29.2,19.2,机中
2026-06-04 10:00:11.000,drone_001,TAKEOFF,99.3,190.49,正常,光测,扇形,24699.8,26.3,24.6,机头
2026-06-04 10:00:11.000,drone_002,TAKEOFF,94.3,186.16,正常,雷达,扇形,31603.9,30.8,18.5,机中
2026-06-04 10:00:12.000,drone_001,TAKEOFF,99.2,201.4,正常,光测,扇形,25817.5,26.5,21.4,机头
2026-06-04 10:00:12.000,drone_002,TAKEOFF,94.2,172.61,正常,雷达,扇形,30912.5,33.0,19.3,机中
2026-06-04 10:00:13.000,drone_001,TAKEOFF,99.1,200.03,正常,光测,扇形,25906.7,25.4,24.0,机头
2026-06-04 10:00:13.000,drone_002,TAKEOFF,94.1,183.29,正常,雷达,扇形,32330.0,31.5,21.6,机中
2026-06-04 10:00:14.000,drone_001,TAKEOFF,99.1,192.54,正常,光测,扇形,26213.1,23.4,23.3,机头
2026-06-04 10:00:14.000,drone_002,TAKEOFF,94.1,177.21,正常,雷达,扇形,31272.2,30.7,18.9,机中
2026-06-04 10:00:15.000,drone_001,TAKEOFF,99.0,193.47,正常,光测,扇形,24886.5,24.8,23.7,机头
2026-06-04 10:00:15.000,drone_002,TAKEOFF,94.0,172.36,正常,雷达,扇形,31751.3,30.9,20.7,机中
2026-06-04 10:00:16.000,drone_001,TAKEOFF,98.9,199.83,正常,光测,扇形,24689.8,24.3,22.4,机头
2026-06-04 10:00:16.000,drone_002,TAKEOFF,93.9,182.69,正常,雷达,扇形,30007.0,29.8,21.0,机中
2026-06-04 10:00:17.000,drone_001,TAKEOFF,98.9,201.51,正常,光测,扇形,25889.7,24.4,23.0,机头
2026-06-04 10:00:17.000,drone_002,TAKEOFF,93.9,183.94,正常,雷达,扇形,31833.6,32.4,20.1,机中
2026-06-04 10:00:18.000,drone_001,TAKEOFF,98.8,204.7,正常,光测,扇形,24967.6,23.3,23.8,机头
2026-06-04 10:00:18.000,drone_002,TAKEOFF,93.8,179.19,正常,雷达,扇形,30312.8,32.1,18.5,机中
2026-06-04 10:00:19.000,drone_001,TAKEOFF,98.7,207.91,正常,光测,扇形,24275.4,26.2,21.2,机头
2026-06-04 10:00:19.000,drone_002,TAKEOFF,93.7,172.29,正常,雷达,扇形,31400.6,29.4,19.8,机中
2026-06-04 10:00:20.000,drone_001,TAKEOFF,98.7,191.82,正常,光测,扇形,24394.7,24.8,22.6,机头
2026-06-04 10:00:20.000,drone_002,TAKEOFF,93.7,174.11,正常,雷达,扇形,30915.8,31.5,21.4,机中
2026-06-04 10:00:21.000,drone_001,TAKEOFF,98.6,191.67,正常,光测,扇形,25673.0,24.3,24.4,机头
2026-06-04 10:00:21.000,drone_002,TAKEOFF,93.6,179.23,正常,雷达,扇形,30078.2,29.9,21.1,机中
2026-06-04 10:00:22.000,drone_001,TAKEOFF,98.5,194.47,正常,光测,扇形,24278.8,26.5,21.0,机头
2026-06-04 10:00:22.000,drone_002,TAKEOFF,93.5,176.89,正常,雷达,扇形,30123.1,30.2,20.3,机中
2026-06-04 10:00:23.000,drone_001,TAKEOFF,98.5,202.4,正常,光测,扇形,24727.9,24.4,22.2,机头
2026-06-04 10:00:23.000,drone_002,TAKEOFF,93.5,174.16,正常,雷达,扇形,29673.5,29.7,19.1,机中
2026-06-04 10:00:24.000,drone_001,TAKEOFF,98.4,209.75,正常,光测,扇形,25764.2,24.1,24.7,机头
2026-06-04 10:00:24.000,drone_002,TAKEOFF,93.4,180.82,正常,雷达,扇形,32498.0,30.4,19.9,机中
2026-06-04 10:00:25.000,drone_001,TAKEOFF,98.3,192.58,正常,光测,扇形,25794.9,23.5,23.5,机头
2026-06-04 10:00:25.000,drone_002,TAKEOFF,93.3,180.77,正常,雷达,扇形,29698.3,33.1,20.3,机中
2026-06-04 10:00:26.000,drone_001,TAKEOFF,98.3,192.68,雷达故障,光测,扇形,25831.0,25.4,21.6,机头
2026-06-04 10:00:26.000,drone_002,TAKEOFF,93.3,171.95,正常,雷达,扇形,32154.5,30.1,19.7,机中
2026-06-04 10:00:27.000,drone_001,TAKEOFF,98.2,199.18,雷达故障,光测,扇形,26749.2,24.6,22.1,机头
2026-06-04 10:00:27.000,drone_002,TAKEOFF,93.2,187.8,正常,雷达,扇形,31966.4,29.3,20.0,机中
2026-06-04 10:00:28.000,drone_001,TAKEOFF,98.1,193.54,雷达故障,光测,扇形,24474.2,23.1,22.6,机头
2026-06-04 10:00:28.000,drone_002,TAKEOFF,93.1,181.29,正常,雷达,扇形,30051.4,31.0,19.6,机中
2026-06-04 10:00:29.000,drone_001,TAKEOFF,98.1,197.41,雷达故障,光测,扇形,25484.4,25.1,22.3,机头
2026-06-04 10:00:29.000,drone_002,TAKEOFF,93.1,177.02,正常,雷达,扇形,31205.1,30.8,20.5,机中
2026-06-04 10:00:30.000,drone_001,CRUISING,98.0,190.4,雷达故障,光测,扇形,25069.8,23.4,22.1,机头
2026-06-04 10:00:30.000,drone_002,CRUISING,93.0,174.69,正常,雷达,扇形,32088.5,31.4,20.4,机中
2026-06-04 10:00:31.000,drone_001,CRUISING,97.9,202.92,雷达故障,光测,扇形,25704.6,24.0,24.7,机头
2026-06-04 10:00:31.000,drone_002,CRUISING,92.9,181.34,正常,雷达,扇形,32034.1,32.7,20.7,机中
2026-06-04 10:00:32.000,drone_001,CRUISING,97.9,209.39,雷达故障,光测,扇形,26456.9,25.9,21.8,机头
2026-06-04 10:00:32.000,drone_002,CRUISING,92.9,180.35,正常,雷达,扇形,32078.9,31.0,21.7,机中
2026-06-04 10:00:33.000,drone_001,CRUISING,97.8,192.3,雷达故障,光测,扇形,25806.3,23.7,23.1,机头
2026-06-04 10:00:33.000,drone_002,CRUISING,92.8,180.5,正常,雷达,扇形,32339.8,29.5,20.2,机中
2026-06-04 10:00:34.000,drone_001,CRUISING,97.7,199.43,雷达故障,光测,扇形,25298.9,24.0,24.5,机头
2026-06-04 10:00:34.000,drone_002,CRUISING,92.7,187.67,正常,雷达,扇形,30591.9,33.1,21.3,机中
2026-06-04 10:00:35.000,drone_001,CRUISING,97.7,203.3,正常,光测,扇形,25582.8,24.0,24.3,机头
